Hit Name,AURORA1,AURORA2,AURURA5,Charentais2,Charentais3,Charentais5,Crane1,Crane2,Crane3,Crane5,Diplo1,Diplo2,Diplo3,Diplo4,Edisto1,Edisto3,Halona1,Halona2,Halona3,Halona4,Halona5,HBush1,HBush2,HBush4,HBush5,HOrange1,HOrange3,HOrange4,HOrange5,IchibaKouji,IchibaKouji2,IchibaKouji3,Kajari1,Kajari2,Kajari3,Koljo1,Koljo3,Koljo5,Korean1,Korean2,Korean3,Korean4,Midget1,Midget2,Midget3,Midget5,Milan1,Milan2,Milan3,Milan4,Milan5,OHoneydew21,OHoneydew29,OHoneydew2,PMR1,PMR2,PMR3,PMR5,WMR3,WMR4
"2-Propenoic acid, 3-phenyl-, ethyl ester, (E)-",0,0,0,12.58202638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2(3H)-Furanone, 5-hexyldihydro-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Buten-2-one, 4-(2,6,6-trimethyl-1-cyclohexen-1-yl)-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trans-.beta.-Ionone,6.194779667,8.2796721,3.519533614,1.868918032,1.981778841,0,0,4.054747436,4.96350697,0,0,0,0,0,0,0,2.166472723,0,0,1.695738563,0,0,0,3.749030018,4.284420234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.488648062,0,0,3.045370889,0,0,0,3.439756464,3.139756831,2.103363775,0,5.579776365,1.698277228,1.80750499,1.52801159,2.402447901,1.429082341,2.359679216
.alpha.-Farnesene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dodecanoic acid, ethyl ester",0,0,0,29.43693574,11.10187092,16.1525681,0,0,0,0,0,0,0,0,0,0,0,0,2.236051137,1.500424572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tetradecanoic acid, ethyl ester",0,0,0,0,0,1.538023438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9-Hexadecenoic acid, methyl ester, (Z)-",2.220827244,4.531325437,0,0,3.309858992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.690092221,0,0,0
"7,9-Di-tert-butyl-1-oxaspiro(4,5)deca-6,9-diene-2,8-dione",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hexadecanoic acid, methyl ester",6.377517367,7.575075622,0,0,5.172469241,0,0,0,0,0,0,0,0,0,0,1.879973506,3.564664633,0,1.688016605,1.939171471,0,0,0,0,0,0,0,6.661533271,3.296536414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.971400131,0,0,0,0,0,0,0,0,1.46590403,3.62373613,0,0,3.80213514
Dibutyl phthalate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethyl 9-hexadecenoate,0,0,0,6.386812284,5.525247097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.055068326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hexadecanoic acid, ethyl ester",0,0,0,0,5.474290629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.369176766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
